Ref,Val,Package,PosX,PosY,Rot,Side
"C0","0.1uF","C_0805",5.797900,-3.952100,90.000000,top
"C1","1uF","C_0402",5.061392,-3.731104,270.000000,top
"C2","1uF","C_0603",6.256793,-3.734886,270.000000,top
"C3","100pF","C_0402",5.100762,-3.872600,270.000000,top
"C4","1uF","C_0603",5.333400,-3.757600,270.000000,top
"C5","20uF","C_0603",5.455469,-4.094913,0.000000,top
"C6","20uF","C_0603",5.454923,-4.147600,0.000000,top
"C7","4.7uF","C_0603",6.210400,-4.066600,180.000000,top
"C8","1uF","C_0603",6.206793,-3.734886,270.000000,top
"C9","4.7uF","C_0603",6.210400,-4.119600,180.000000,top
"C10","100pF","C_0402",6.503400,-3.952600,90.000000,top
"C11","1uF","C_0603",5.278400,-3.757600,270.000000,top
"C12","1uF","C_0402",6.508400,-3.847600,0.000000,top
"D2","D_Schottky","D_0402",5.486589,-3.853151,0.000000,top
"D3","D_Schottky","D_0402",5.486589,-4.045002,0.000000,top
"D4","D_Schottky","D_0402",6.104699,-4.069687,180.000000,top
"D5","D_Schottky","D_0402",6.116510,-3.872836,180.000000,top
"D7","D_ZENER","SOD-123F",6.193400,-4.182600,180.000000,top
"D8","D_ZENER","SOD-123F",5.468400,-4.205100,0.000000,top
"R1","35.7k","R_0402",6.508400,-3.892600,0.000000,top
"R2","150","R_0402",5.049581,-3.872600,90.000000,top
"R3","35.7k","R_0402",5.100762,-3.955513,270.000000,top
"R4","100k","R_0402",6.548400,-4.042600,270.000000,top
"R5","50m","R_0402",5.228400,-3.772600,90.000000,top
"R6","22","R_0402",5.486589,-3.798033,180.000000,top
"R7","22","R_0402",5.486589,-3.989883,180.000000,top
"R8","22","R_0402",6.104699,-4.014569,180.000000,top
"R9","22","R_0402",6.116510,-3.821655,180.000000,top
"R10","50m","R_0402",6.318400,-3.732600,270.000000,top
"R11","100k","R_0402",5.049581,-3.955513,90.000000,top
"R13","150","R_0402",6.553400,-3.952600,270.000000,top
